,Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
10,1,24,Travel_Rarely,Human Resources,22,1,Human Resources,4,Male,1,1,Human Resources,3,Married,"(990.01, 2908.0]",1,No,11,3,3,1,1,2,3,1,0,0,0
11,0,35,Travel_Rarely,Research & Development,10,4,Medical,1,Female,3,2,Healthcare Representative,3,Single,"(4807.0, 6706.0]",3,Yes,16,3,3,0,10,4,3,5,2,0,4
12,1,30,Travel_Rarely,Research & Development,3,3,Technical Degree,4,Female,3,1,Research Scientist,1,Single,"(990.01, 2908.0]",5,Yes,11,3,3,0,8,5,3,5,2,0,4
13,0,54,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Laboratory Technician,3,Single,"(2908.0, 4807.0]",7,No,11,3,3,0,19,3,3,1,0,0,0
14,0,34,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,2,1,Laboratory Technician,2,Married,"(2908.0, 4807.0]",5,No,17,3,1,1,7,2,2,5,4,0,2
15,0,47,Travel_Rarely,Sales,2,4,Life Sciences,4,Female,2,1,Sales Representative,4,Single,"(2908.0, 4807.0]",1,Yes,18,3,1,0,3,3,2,3,2,1,2
16,0,36,Non-Travel,Sales,15,4,Marketing,4,Male,1,2,Sales Executive,4,Divorced,"(4807.0, 6706.0]",1,No,24,4,1,1,15,4,2,15,12,11,11
17,0,35,Travel_Rarely,Research & Development,1,4,Medical,4,Male,2,1,Laboratory Technician,3,Married,"(990.01, 2908.0]",6,No,12,3,2,1,10,2,3,8,0,1,7
18,0,29,Travel_Rarely,Sales,19,3,Life Sciences,3,Male,2,2,Sales Executive,3,Divorced,"(8605.0, 10504.0]",1,No,14,3,3,2,10,3,3,10,7,0,4
19,1,56,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,"(4807.0, 6706.0]",9,Yes,18,3,1,3,7,2,3,5,4,4,3
20,0,45,Travel_Rarely,Research & Development,10,2,Life Sciences,1,Male,3,1,Research Scientist,4,Married,"(990.01, 2908.0]",3,No,21,4,4,2,8,3,2,2,2,0,2
21,0,46,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,3,Healthcare Representative,1,Divorced,"(8605.0, 10504.0]",7,No,16,3,3,1,17,3,3,4,2,0,3
22,0,39,Travel_Rarely,Research & Development,10,1,Medical,3,Male,3,3,Research Director,3,Single,"(12403.0, 14302.0]",7,No,21,4,3,0,9,3,3,4,3,2,2
23,0,52,Travel_Rarely,Sales,3,4,Marketing,3,Male,2,4,Manager,1,Married,"(16201.0, 18100.0]",1,No,11,3,1,0,34,3,4,34,6,1,16
24,0,32,Non-Travel,Research & Development,1,3,Life Sciences,3,Female,2,1,Laboratory Technician,2,Married,"(990.01, 2908.0]",6,No,20,4,3,0,5,3,3,3,0,0,2
25,0,46,Travel_Frequently,Research & Development,18,1,Medical,1,Female,3,3,Healthcare Representative,3,Married,"(10504.0, 12403.0]",5,No,11,3,4,0,28,3,2,2,2,1,2
26,0,28,Travel_Rarely,Research & Development,17,2,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,"(2908.0, 4807.0]",1,No,12,3,4,1,10,2,3,10,0,1,8
27,0,29,Travel_Rarely,Research & Development,23,2,Life Sciences,3,Male,4,1,Research Scientist,3,Married,"(990.01, 2908.0]",1,No,24,4,3,1,10,3,3,10,7,0,7
28,0,39,Travel_Rarely,Sales,24,1,Marketing,2,Female,2,4,Sales Executive,4,Married,"(10504.0, 12403.0]",0,No,11,3,1,1,21,2,2,20,9,9,6
29,0,33,Travel_Rarely,Research & Development,9,3,Medical,1,Male,3,1,Research Scientist,4,Married,"(990.01, 2908.0]",0,No,13,3,2,1,15,5,3,14,10,4,10
30,0,38,Travel_Rarely,Sales,3,3,Life Sciences,1,Male,3,3,Sales Executive,3,Divorced,"(10504.0, 12403.0]",0,No,12,3,3,2,17,6,2,16,10,5,13
31,0,27,Travel_Frequently,Research & Development,5,2,Life Sciences,4,Female,3,1,Laboratory Technician,4,Single,"(990.01, 2908.0]",0,Yes,14,3,3,0,6,3,2,5,4,0,2
32,1,19,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,1,1,Sales Representative,1,Single,"(990.01, 2908.0]",0,No,21,4,1,0,1,5,4,0,0,0,0
33,0,54,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Female,3,3,Manufacturing Director,3,Married,"(10504.0, 12403.0]",8,No,11,3,3,1,22,2,3,10,7,0,8
34,0,53,Travel_Rarely,Research & Development,23,4,Life Sciences,4,Female,3,4,Research Director,4,Single,"(12403.0, 14302.0]",6,No,18,3,3,0,33,0,3,12,9,3,8
35,0,33,Non-Travel,Sales,8,1,Life Sciences,2,Female,2,1,Sales Representative,4,Single,"(990.01, 2908.0]",0,No,19,3,4,0,3,2,2,2,2,2,2
36,0,29,Travel_Rarely,Sales,2,3,Medical,1,Male,2,2,Sales Executive,2,Married,"(4807.0, 6706.0]",2,No,19,3,2,2,10,2,3,0,0,0,0
37,1,33,Travel_Frequently,Research & Development,3,3,Life Sciences,1,Male,3,1,Research Scientist,1,Single,"(2908.0, 4807.0]",1,Yes,11,3,1,0,10,3,3,10,8,9,7
38,0,42,Travel_Rarely,Research & Development,29,3,Life Sciences,2,Male,3,2,Manufacturing Director,2,Married,"(2908.0, 4807.0]",1,No,13,3,4,1,10,3,2,9,8,7,8
39,0,34,Travel_Frequently,Research & Development,10,4,Technical Degree,4,Male,2,2,Healthcare Representative,3,Married,"(4807.0, 6706.0]",1,No,14,3,2,1,8,3,2,8,2,7,7
40,0,42,Travel_Rarely,Sales,5,2,Marketing,4,Male,3,5,Manager,3,Married,"(18100.0, 19999.0]",6,No,13,3,2,0,21,3,4,1,0,0,0
41,0,26,Travel_Rarely,Sales,1,3,Life Sciences,3,Male,3,2,Sales Executive,3,Married,"(4807.0, 6706.0]",1,No,17,3,2,1,8,3,3,8,7,7,7
42,0,55,Travel_Rarely,Research & Development,1,4,Medical,2,Male,4,4,Research Director,4,Divorced,"(14302.0, 16201.0]",2,No,13,3,4,2,31,4,4,7,7,0,0
43,1,50,Travel_Frequently,Sales,1,4,Life Sciences,2,Male,3,2,Sales Executive,3,Divorced,"(6706.0, 8605.0]",7,No,12,3,4,2,12,3,3,6,3,0,1
44,0,37,Travel_Rarely,Research & Development,7,4,Medical,4,Male,3,2,Research Scientist,1,Married,"(2908.0, 4807.0]",5,Yes,22,4,3,1,16,2,3,5,3,0,4
45,0,45,Non-Travel,Sales,26,3,Marketing,1,Male,2,2,Sales Executive,1,Married,"(2908.0, 4807.0]",1,No,15,3,1,1,10,2,3,10,7,4,5
46,0,43,Travel_Frequently,Sales,15,3,Life Sciences,4,Male,2,2,Sales Executive,4,Married,"(6706.0, 8605.0]",3,No,18,3,3,1,7,5,3,2,2,2,2
47,1,39,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,"(990.01, 2908.0]",3,No,14,3,3,1,19,6,4,1,0,0,0
48,0,38,Travel_Rarely,Sales,2,2,Marketing,4,Male,3,3,Sales Executive,2,Single,"(6706.0, 8605.0]",7,No,16,3,3,0,10,2,3,1,0,0,0
49,0,31,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,"(990.01, 2908.0]",1,No,17,3,2,0,1,4,3,1,1,1,0
50,0,51,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Male,3,1,Research Scientist,4,Married,"(990.01, 2908.0]",1,No,11,3,2,0,1,0,2,1,0,0,0
51,0,36,Travel_Rarely,Research & Development,1,3,Technical Degree,3,Female,1,3,Manufacturing Director,1,Divorced,"(8605.0, 10504.0]",2,Yes,21,4,3,1,17,2,3,7,7,7,7
52,0,39,Travel_Rarely,Research & Development,6,1,Medical,4,Male,2,3,Healthcare Representative,1,Married,"(8605.0, 10504.0]",4,No,15,3,1,1,9,5,3,7,7,1,7
53,0,32,Travel_Frequently,Research & Development,24,4,Life Sciences,1,Male,3,2,Laboratory Technician,4,Married,"(4807.0, 6706.0]",1,No,15,3,4,2,10,2,3,10,8,4,7
54,0,27,Travel_Rarely,Research & Development,8,3,Medical,2,Female,4,1,Research Scientist,3,Married,"(2908.0, 4807.0]",7,No,17,3,1,0,5,0,3,3,2,0,2
55,0,39,Non-Travel,Research & Development,9,3,Life Sciences,4,Male,3,5,Manager,4,Single,"(18100.0, 19999.0]",2,No,13,3,3,0,21,3,2,6,0,1,3
56,0,34,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,1,Research Scientist,4,Single,"(2908.0, 4807.0]",1,No,13,3,3,0,1,4,1,1,0,0,0
57,0,34,Travel_Rarely,Research & Development,27,2,Medical,4,Female,3,1,Research Scientist,2,Single,"(990.01, 2908.0]",2,No,15,3,4,0,9,3,3,3,2,1,2
58,0,43,Travel_Rarely,Sales,16,3,Marketing,4,Female,3,4,Manager,4,Married,"(14302.0, 16201.0]",5,Yes,22,4,3,1,22,3,3,17,13,1,9
59,0,31,Travel_Rarely,Research & Development,2,4,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,"(2908.0, 4807.0]",1,No,14,3,4,1,6,2,4,5,2,0,3
60,1,31,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,"(4807.0, 6706.0]",4,Yes,18,3,2,0,12,3,2,7,7,7,7
61,0,38,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,4,2,Healthcare Representative,4,Single,"(6706.0, 8605.0]",0,No,13,3,3,0,10,4,2,9,7,1,8
62,0,36,Non-Travel,Sales,1,5,Medical,4,Female,3,2,Sales Executive,4,Single,"(4807.0, 6706.0]",4,No,15,3,2,0,7,6,3,1,0,0,0
63,0,42,Travel_Rarely,Research & Development,24,3,Medical,4,Male,3,3,Manufacturing Director,1,Married,"(6706.0, 8605.0]",1,Yes,21,4,4,1,10,5,2,10,9,5,8
64,0,43,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,4,Manager,4,Married,"(16201.0, 18100.0]",1,Yes,12,3,4,2,25,3,4,25,12,4,12
65,0,36,Travel_Frequently,Sales,3,4,Medical,1,Male,2,3,Sales Executive,4,Married,"(8605.0, 10504.0]",4,No,11,3,1,1,16,2,3,13,9,1,12
66,1,51,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Male,3,1,Research Scientist,3,Married,"(990.01, 2908.0]",9,Yes,12,3,3,3,18,2,4,10,0,2,7
67,0,51,Travel_Frequently,Sales,2,3,Marketing,2,Male,3,3,Sales Executive,2,Married,"(10504.0, 12403.0]",2,No,11,3,2,0,14,5,3,4,2,3,2
68,0,33,Travel_Frequently,Research & Development,6,3,Life Sciences,3,Male,3,2,Healthcare Representative,4,Divorced,"(6706.0, 8605.0]",3,No,23,4,3,1,15,2,1,13,11,4,7
69,0,25,Travel_Rarely,Human Resources,2,3,Human Resources,3,Female,3,1,Human Resources,2,Married,"(990.01, 2908.0]",4,No,14,3,3,0,6,3,3,2,0,1,2
70,0,33,Travel_Frequently,Sales,10,3,Marketing,2,Male,2,2,Sales Executive,4,Single,"(2908.0, 4807.0]",3,No,14,3,3,0,9,6,2,7,7,0,1
71,0,42,Travel_Rarely,Research & Development,13,3,Medical,2,Male,4,2,Healthcare Representative,1,Married,"(4807.0, 6706.0]",5,No,18,3,3,2,10,2,2,0,0,0,0
72,0,20,Travel_Rarely,Sales,2,3,Medical,3,Female,3,1,Sales Representative,3,Single,"(990.01, 2908.0]",1,No,19,3,1,0,2,3,3,2,2,2,2
73,0,42,Travel_Rarely,Human Resources,2,1,Technical Degree,3,Male,3,1,Human Resources,3,Divorced,"(990.01, 2908.0]",0,Yes,11,3,3,1,4,5,3,3,2,1,0
74,0,41,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,2,2,Sales Executive,2,Divorced,"(8605.0, 10504.0]",2,No,11,3,3,1,14,5,3,5,4,0,4
75,0,27,Travel_Rarely,Research & Development,5,1,Technical Degree,3,Male,2,3,Research Director,4,Divorced,"(12403.0, 14302.0]",1,Yes,16,3,2,1,9,3,3,9,8,0,8
76,0,30,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,"(4807.0, 6706.0]",1,Yes,12,3,3,2,10,1,2,10,8,3,0
77,0,30,Travel_Frequently,Research & Development,5,4,Life Sciences,2,Male,2,1,Research Scientist,4,Divorced,"(2908.0, 4807.0]",9,No,12,3,2,1,10,3,2,5,4,0,3
78,1,37,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,"(990.01, 2908.0]",6,Yes,15,3,2,0,7,3,3,0,0,0,0
79,0,24,Travel_Rarely,Research & Development,21,2,Technical Degree,3,Male,2,1,Laboratory Technician,1,Divorced,"(990.01, 2908.0]",0,No,14,3,2,3,2,3,3,1,1,0,0
80,0,38,Travel_Rarely,Research & Development,29,3,Technical Degree,4,Male,3,2,Manufacturing Director,4,Married,"(4807.0, 6706.0]",3,No,18,3,1,1,9,3,1,7,7,1,7
81,0,56,Travel_Rarely,Human Resources,8,4,Life Sciences,4,Male,3,5,Manager,2,Single,"(18100.0, 19999.0]",6,No,14,3,1,0,36,4,3,7,3,7,7
82,0,32,Travel_Rarely,Research & Development,4,3,Life Sciences,3,Female,2,2,Manufacturing Director,3,Married,"(4807.0, 6706.0]",1,No,12,3,3,1,14,3,3,14,13,6,8
83,0,30,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,2,Married,"(990.01, 2908.0]",1,No,18,3,1,1,1,3,3,1,0,0,0
84,0,38,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Female,3,1,Laboratory Technician,4,Single,"(990.01, 2908.0]",1,No,12,3,3,0,2,3,3,2,2,2,1
85,0,25,Travel_Rarely,Sales,18,1,Life Sciences,1,Male,4,2,Sales Executive,3,Married,"(4807.0, 6706.0]",2,No,11,3,2,0,6,3,2,3,2,1,2
86,0,39,Non-Travel,Research & Development,1,3,Life Sciences,4,Male,3,2,Laboratory Technician,4,Married,"(4807.0, 6706.0]",1,Yes,15,3,4,1,9,2,3,9,8,5,8
87,0,59,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,"(6706.0, 8605.0]",7,No,11,3,4,0,28,3,2,21,16,7,9
88,0,30,Travel_Rarely,Sales,8,2,Other,3,Male,3,3,Sales Executive,3,Divorced,"(6706.0, 8605.0]",5,No,11,3,1,1,10,2,4,8,4,7,7
89,0,56,Travel_Frequently,Sales,6,3,Life Sciences,3,Female,4,4,Sales Executive,1,Married,"(12403.0, 14302.0]",9,No,11,3,4,3,36,0,2,7,7,7,7
90,0,28,Travel_Rarely,Sales,5,4,Medical,1,Male,3,2,Sales Executive,4,Single,"(4807.0, 6706.0]",1,No,14,3,2,0,4,3,3,4,2,0,2
91,0,38,Travel_Frequently,Research & Development,6,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Married,"(4807.0, 6706.0]",2,No,11,3,4,1,10,1,3,8,3,7,7
92,0,28,Travel_Rarely,Sales,9,4,Life Sciences,2,Male,3,2,Sales Executive,4,Single,"(4807.0, 6706.0]",1,No,16,3,4,0,7,1,3,7,5,0,7
93,1,19,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Male,2,1,Laboratory Technician,4,Single,"(990.01, 2908.0]",1,No,22,4,3,0,1,3,2,1,0,1,0
94,0,34,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,"(10504.0, 12403.0]",0,No,11,3,3,0,13,4,3,12,6,2,11
95,0,51,Travel_Rarely,Research & Development,7,4,Medical,2,Male,2,2,Manufacturing Director,3,Married,"(4807.0, 6706.0]",2,No,17,3,3,0,10,2,3,1,0,0,0
96,0,32,Travel_Frequently,Research & Development,10,3,Life Sciences,1,Male,3,1,Research Scientist,3,Married,"(2908.0, 4807.0]",6,No,13,3,1,1,10,3,2,5,2,1,3
97,0,35,Travel_Rarely,Research & Development,1,4,Life Sciences,3,Female,1,1,Research Scientist,4,Married,"(2908.0, 4807.0]",1,No,12,3,4,1,4,5,3,4,3,1,1
98,0,59,Non-Travel,Human Resources,2,4,Human Resources,3,Female,2,5,Manager,4,Married,"(18100.0, 19999.0]",9,No,21,4,4,1,30,3,3,3,2,2,2
99,0,30,Travel_Rarely,Research & Development,10,3,Medical,1,Female,3,3,Manufacturing Director,3,Single,"(8605.0, 10504.0]",9,No,14,3,2,0,9,3,3,7,7,0,2
100,0,29,Travel_Rarely,Research & Development,4,3,Technical Degree,4,Female,2,1,Research Scientist,1,Divorced,"(990.01, 2908.0]",1,No,13,3,3,1,1,2,3,1,0,0,0
101,0,52,Travel_Rarely,Research & Development,4,2,Life Sciences,4,Female,3,4,Manager,4,Married,"(16201.0, 18100.0]",2,No,13,3,4,0,31,2,1,5,2,1,4
102,0,36,Travel_Frequently,Research & Development,3,2,Medical,4,Male,3,1,Laboratory Technician,2,Single,"(990.01, 2908.0]",4,No,12,3,3,0,13,3,2,8,7,7,2
103,0,29,Travel_Rarely,Research & Development,13,2,Other,4,Male,2,2,Laboratory Technician,2,Married,"(2908.0, 4807.0]",4,Yes,13,3,1,1,10,2,3,4,3,0,3
104,0,35,Travel_Rarely,Research & Development,18,5,Life Sciences,2,Male,4,2,Research Scientist,1,Married,"(4807.0, 6706.0]",1,No,11,3,4,0,16,2,3,16,15,1,10
105,1,25,Travel_Frequently,Sales,24,1,Life Sciences,3,Male,1,1,Sales Representative,4,Single,"(990.01, 2908.0]",1,Yes,14,3,4,0,1,4,3,1,0,1,0
106,0,54,Travel_Rarely,Research & Development,19,4,Medical,4,Female,3,2,Manufacturing Director,1,Divorced,"(4807.0, 6706.0]",9,Yes,11,3,2,2,9,4,3,5,3,1,4
107,0,32,Travel_Rarely,Sales,7,3,Life Sciences,4,Male,2,2,Sales Executive,3,Married,"(4807.0, 6706.0]",1,No,14,3,3,1,13,3,2,13,8,4,8
108,0,52,Non-Travel,Sales,2,4,Life Sciences,1,Male,2,5,Manager,3,Single,"(18100.0, 19999.0]",1,Yes,18,3,4,0,33,2,4,33,7,15,12
109,0,31,Travel_Rarely,Research & Development,9,1,Life Sciences,3,Male,3,3,Manufacturing Director,2,Divorced,"(10504.0, 12403.0]",1,No,25,4,4,1,13,6,4,13,8,0,8
110,1,19,Non-Travel,Research & Development,10,3,Medical,1,Female,2,1,Research Scientist,2,Single,"(990.01, 2908.0]",1,Yes,25,4,2,0,1,2,4,1,1,0,0
111,0,35,Travel_Rarely,Sales,8,4,Life Sciences,1,Female,3,1,Sales Representative,4,Married,"(990.01, 2908.0]",1,No,16,3,2,1,3,1,2,3,2,0,2
112,0,27,Travel_Frequently,Research & Development,15,3,Life Sciences,4,Female,2,1,Research Scientist,1,Married,"(2908.0, 4807.0]",0,No,19,3,4,1,8,2,2,7,6,7,3
113,1,26,Travel_Rarely,Research & Development,24,3,Technical Degree,3,Male,1,1,Laboratory Technician,4,Single,"(990.01, 2908.0]",1,Yes,18,3,2,0,1,3,1,1,0,0,0
114,0,28,Travel_Rarely,Research & Development,15,2,Life Sciences,1,Male,3,1,Laboratory Technician,3,Divorced,"(990.01, 2908.0]",1,No,16,3,4,1,4,5,2,4,2,2,2
115,1,56,Travel_Rarely,Research & Development,24,2,Life Sciences,1,Male,3,1,Laboratory Technician,4,Single,"(990.01, 2908.0]",1,No,16,3,4,0,5,3,3,4,2,1,0
116,0,47,Non-Travel,Research & Development,14,4,Technical Degree,3,Male,3,2,Research Scientist,2,Married,"(4807.0, 6706.0]",8,No,18,3,3,1,16,4,4,8,7,1,7
117,1,40,Travel_Rarely,Sales,25,4,Marketing,4,Male,2,3,Sales Executive,2,Single,"(8605.0, 10504.0]",2,Yes,12,3,3,0,9,2,3,5,4,1,0
118,0,31,Travel_Rarely,Research & Development,4,3,Medical,1,Female,4,1,Laboratory Technician,3,Divorced,"(2908.0, 4807.0]",8,No,12,3,2,1,4,0,2,2,2,2,2
119,1,23,Travel_Rarely,Research & Development,6,3,Life Sciences,3,Male,4,1,Laboratory Technician,1,Married,"(990.01, 2908.0]",1,Yes,21,4,3,2,1,2,3,0,0,0,0
120,0,33,Travel_Rarely,Human Resources,2,3,Human Resources,2,Male,3,1,Human Resources,3,Married,"(2908.0, 4807.0]",1,No,13,3,4,1,5,2,3,5,4,1,4
121,0,27,Travel_Rarely,Sales,2,2,Medical,1,Female,4,2,Sales Executive,3,Single,"(4807.0, 6706.0]",0,No,14,3,2,0,9,5,2,8,7,0,7
122,0,43,Travel_Rarely,Sales,2,3,Medical,4,Male,3,2,Sales Executive,4,Married,"(6706.0, 8605.0]",1,Yes,17,3,1,1,10,3,3,10,9,8,8
123,0,35,Travel_Rarely,Sales,28,4,Life Sciences,2,Female,2,1,Sales Representative,3,Married,"(990.01, 2908.0]",0,No,23,4,1,2,6,5,3,5,3,4,2
124,0,40,Travel_Frequently,Sales,5,4,Life Sciences,4,Male,2,3,Sales Executive,1,Married,"(8605.0, 10504.0]",5,Yes,21,4,3,1,20,2,3,18,13,1,12
125,0,36,Non-Travel,Research & Development,18,4,Life Sciences,1,Male,3,2,Manufacturing Director,4,Single,"(6706.0, 8605.0]",2,No,20,4,1,0,18,0,3,11,9,0,9
126,0,30,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,"(2908.0, 4807.0]",1,No,23,4,4,0,12,2,3,12,8,3,7
127,0,55,Travel_Rarely,Research & Development,2,4,Technical Degree,2,Male,2,1,Research Scientist,4,Married,"(990.01, 2908.0]",8,No,20,4,2,1,19,2,4,5,2,0,4
128,0,35,Travel_Rarely,Sales,1,5,Marketing,3,Male,3,3,Sales Executive,2,Married,"(6706.0, 8605.0]",1,No,13,3,1,2,10,3,3,10,8,0,6
129,0,29,Travel_Rarely,Research & Development,8,1,Medical,2,Male,2,2,Manufacturing Director,4,Married,"(4807.0, 6706.0]",1,Yes,15,3,3,1,10,2,2,10,7,1,2
130,1,39,Non-Travel,Research & Development,2,3,Life Sciences,1,Female,2,1,Laboratory Technician,1,Single,"(2908.0, 4807.0]",2,Yes,23,4,2,0,11,2,4,1,0,0,0
131,0,18,Travel_Rarely,Sales,10,3,Medical,4,Female,2,1,Sales Representative,3,Single,"(990.01, 2908.0]",1,No,12,3,1,0,0,2,3,0,0,0,0
132,0,30,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,"(990.01, 2908.0]",1,No,13,3,1,0,10,5,3,10,0,1,8
133,0,43,Travel_Rarely,Research & Development,12,3,Life Sciences,1,Male,2,4,Research Director,2,Divorced,"(14302.0, 16201.0]",1,No,11,3,3,1,25,3,3,25,10,3,9
134,0,40,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,3,4,Manager,1,Divorced,"(16201.0, 18100.0]",2,No,11,3,1,1,22,3,3,19,7,11,16
135,0,35,Travel_Frequently,Research & Development,18,4,Life Sciences,3,Male,3,2,Healthcare Representative,3,Married,"(4807.0, 6706.0]",1,Yes,14,3,4,2,10,2,4,10,2,0,2
136,1,35,Travel_Rarely,Sales,10,3,Medical,4,Male,2,3,Sales Executive,1,Married,"(8605.0, 10504.0]",9,No,17,3,3,0,15,3,3,13,12,6,0
137,0,33,Non-Travel,Sales,22,2,Marketing,3,Male,3,2,Sales Executive,2,Married,"(4807.0, 6706.0]",0,No,13,3,1,1,8,2,4,7,7,0,7
138,0,45,Travel_Rarely,Sales,9,3,Marketing,4,Male,3,3,Sales Executive,1,Divorced,"(10504.0, 12403.0]",4,Yes,12,3,3,1,18,2,3,5,4,0,2
139,0,47,Travel_Rarely,Research & Development,1,3,Technical Degree,1,Male,3,1,Research Scientist,4,Married,"(2908.0, 4807.0]",7,No,12,3,3,1,17,2,2,6,5,1,2
140,1,26,Travel_Rarely,Research & Development,21,3,Medical,1,Male,3,1,Laboratory Technician,3,Divorced,"(990.01, 2908.0]",1,No,20,4,3,1,1,0,2,1,1,0,0
141,0,42,Non-Travel,Research & Development,2,1,Life Sciences,3,Male,3,4,Manager,3,Married,"(16201.0, 18100.0]",0,Yes,13,3,4,0,21,3,2,20,8,2,10
142,0,29,Travel_Rarely,Research & Development,7,1,Medical,1,Female,2,1,Laboratory Technician,4,Divorced,"(990.01, 2908.0]",6,No,14,3,3,3,8,5,3,4,3,0,3
143,0,40,Non-Travel,Research & Development,9,5,Life Sciences,4,Male,2,2,Healthcare Representative,4,Married,"(4807.0, 6706.0]",9,No,14,3,4,1,5,5,1,3,2,0,2
144,0,34,Non-Travel,Sales,10,3,Life Sciences,4,Male,3,2,Sales Executive,3,Divorced,"(2908.0, 4807.0]",1,Yes,14,3,3,1,15,3,3,15,14,0,7
145,0,43,Travel_Frequently,Research & Development,9,5,Medical,4,Male,3,2,Laboratory Technician,3,Divorced,"(4807.0, 6706.0]",3,Yes,13,3,2,1,10,3,3,8,7,4,7
146,0,31,Travel_Rarely,Research & Development,12,3,Medical,4,Female,3,2,Healthcare Representative,4,Married,"(4807.0, 6706.0]",0,Yes,11,3,3,2,10,2,1,9,7,8,5
